Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00148   4361657.94   5965085.72      33.00    9.90000    53.80000      -9   1951-01-01   1983-10-31      XX      100.00%          10   Alveslohe
  00149   4289630.58   5554297.53     111.00    9.05980    50.08880      -9   1981-07-01   2015-12-31      XX      100.00%           3   Alzenau
  00150   4220094.72   5517171.21     215.00    8.11690    49.72710      -9   1951-01-01   2015-12-31      XX       98.34%           3   Alzey
  00151   4489469.58   5481225.35     383.00   11.85470    49.46890      -9   1947-01-01   2015-12-31      XX       99.76%           3   Amberg-Unterammersricht
  00152   4380759.00   5889607.60      57.00   10.21840    53.12680      -9   1971-01-01   2011-12-31      XX      100.00%           3   Amelinghausen
  00153   4523368.59   5318232.88     530.00   12.31320    48.00270      -9   1982-03-01   2005-12-31      XX      100.00%           9   Amerang-Kammer
  00154   4521809.48   5320116.81     515.00   12.29240    48.01970      -9   1994-01-01   2015-12-31      XX       99.99%           3   Amerang-Pfaffing
  00155   4389030.86   5399681.20     492.00   10.49150    48.72580      -9   1941-01-01   2015-12-31      XX       95.56%           1   Amerdingen
  00156   4470629.27   5738027.07      96.00   11.57440    51.77700      -9   1908-01-01   2006-12-31      XX       75.24%           9   Amesdorf-Warmsdorf
  00158   4285268.31   5631902.55     210.00    8.95450    50.78400      -9   1941-01-01   2015-12-31      XX       98.12%           3   Amoeneburg-Ruedigheim
  00159   4299925.76   5503963.50     181.00    9.22950    49.64030      -9   1971-01-01   2003-07-31      XX       98.72%           9   Amorbach
  00160   4438607.56   5314165.55     682.00   11.17780    47.96360      -9   1971-01-01   2015-12-31      XX       99.62%           3   Andechs-Erling
  00161   4174655.21   5597446.58      75.00    7.42030    50.42380      -9   1931-01-01   2015-12-31      XX       93.22%           3   Andernach
  00162   4567292.01   5296185.43     690.00   12.89840    47.80130      -9   1941-01-01   2005-12-31      XX      100.00%           9   Anger-Oberhoegl
  00163   4561357.81   5296308.55     830.00   12.81920    47.80300      -9   1951-01-01   2015-12-31      XX       99.74%           1   Anger-Stoissberg
  00164   4633528.71   5879384.64      54.00   13.99070    53.03160      -9   1951-01-01   2015-12-31      XX      100.00%           3   Angermuende
  00165   4481922.10   5802959.10      50.00   11.73460    52.36110      -9   1969-01-01   2006-12-31      XX       98.46%           9   Angern
  00166   4493051.74   5703426.03     108.00   11.90000    51.46670      -9   1969-01-01   1991-01-31      XX       99.62%           9   Angersdorf
  00167   4610870.52   5968940.70       9.00   13.68460    53.84120      -9   1951-01-01   2015-12-31      XX       98.97%           3   Anklam
  00168   4220348.65   5831504.54      62.00    7.87630    52.54610      -9   1951-01-01   1999-05-31      XX      100.00%           9   Ankum
  00169   4571206.09   5604492.26     630.00   13.00530    50.57300      -9   1947-01-01   2002-12-31      XX       95.54%           9   Annaberg-Buchholz
  00170   4572851.46   5733339.16      76.00   13.05460    51.73090      -9   1902-01-01   2015-12-31      XX       98.37%           3   Annaburg
